repo,number,title,body,state,created_at,updated_at,closed_at,author_login,assignees,comments,labels,milestone,url
pallets/flask,5688,Error using sample code in favicon documentation,"The code sample gives the assert `view_func is not None, ""expected view func if endpoint is not provided.""`.

Documentation in question: https://flask.palletsprojects.com/en/stable/patterns/favicon/

Sample code in question:
```
app.add_url_rule('/favicon.ico',
                 redirect_to=url_for('static', filename='favicon.ico'))
```",closed,2025-03-02T06:04:51+00:00,2025-04-13T00:32:58+00:00,2025-03-29T22:32:36+00:00,AluminumAngel,[],1,"[""docs""]",,https://github.com/pallets/flask/issues/5688
pallets/flask,5686,Inaccurate documentation for adding a favicon redirect,"The code sample in the existing documentation on how to redirect a favicon request assumes that add_url_rule takes a parameter named redirect_to. It does not.

Documentation in question: https://flask.palletsprojects.com/en/stable/patterns/favicon/

Sample code in question:
```
app.add_url_rule('/favicon.ico',
                 redirect_to=url_for('static', filename='favicon.ico'))
```",closed,2025-03-02T05:29:12+00:00,2025-03-17T00:09:03+00:00,2025-03-02T05:32:32+00:00,AluminumAngel,[],3,[],,https://github.com/pallets/flask/issues/5686
pallets/flask,5679,How to solve,"```python
response = {
        ""status"": ""ok"",
        ""message"": ""Success"",
        ""response"": url
    }
    return jsonify(response)
```

In this getting output like this 

```json
{""message"": ""success"", ""response"": url, ""status"": ""old""}
```

How to solve that getting incorrect output

I need this like

```
{
        ""status"": ""ok"",
        ""message"": ""Success"",
        ""response"": url
    }
```

How to solve ",closed,2025-02-18T09:21:49+00:00,2025-02-18T09:28:00+00:00,2025-02-18T09:28:00+00:00,Tanjiroop,[],1,[],,https://github.com/pallets/flask/issues/5679
pallets/flask,5676,Admin endpoint seems to be reserved,"```python
@app.route(""/admin/<password>/<int:page>"", methods=[""GET""])
def admin(password: str, page: int = 1) -> Any:
    print(page)
    files, total = [], 2
    return render_template(""admin.html"", files=files, password=password, total=total)
```

This fails when page is 1,2,3 or 8.

At least. it might fail in more cases.

If page is 4 or 5, 9,  etc, it works.

By works I mean, it uses the actual argument instead of the default: 1

I'm guessing the admin endpoint is being reserved in some way, but should it?

If I replace 'admin' to 'pok' for example:

`@app.route(""/pok/<password>/<int:page>"", methods=[""GET""])`

Then it works as expected.


Environment:

- Python version: 3.13.1
- Flask version: 3.1.0",closed,2025-02-08T04:41:55+00:00,2025-02-23T00:08:34+00:00,2025-02-08T05:02:48+00:00,madprops,[],2,[],,https://github.com/pallets/flask/issues/5676
pallets/flask,5673,Custom commands not listed,"When I run the `flask` command by itself I get help output with all of my custom commands listed. But when I run `flask --help` I get the help output with only the built-in flask commands (`routes`, `run`, `shell`). I am using the `FLASK_APP` environment variable to load the app.

I would think I should get the same help output (showing my custom commands) whether or not I add the `--help` parameter?

Environment:

- Python 3.12.2
- Flask 3.1.0",closed,2025-01-28T06:57:24+00:00,2025-04-13T00:33:00+00:00,2025-03-29T22:15:26+00:00,dunkmann00,[],7,"[""cli""]",3.1.1,https://github.com/pallets/flask/issues/5673
pallets/flask,5670,"int route converters are actually uint, but not documented as such","In #2643, a user noted that flask routes with an `int` converter only accepts unsigned integers.

I'll summarize a few different opinions and options in that thread:
1. a user can create their own converter that accepts unsigned integers, or modifies the existing converter (but only on their codebase). An example code snippet was provided in the issue.
2. The user's report could be treated as a bug in the `int` converter, so the fix would be to modify the flask `int` converter to accept the other ~50% of legitimate integers. Assumptions were made about which part of the integer space most people would use. Concerns were raised about how users may be relying on this bug, and that it should not be fixed for fear of breaking said users.
3. The user's report could be treated as a bug in the documentation, so a presumed fix would be to amend [the documentation](https://flask.palletsprojects.com/en/stable/api/#url-route-registrations) which currently states ""The following converters are available: [...] `int`: accepts integers""; it could be changed to ""`int`: accepts _unsigned_ integers"".

My expectation would have been that either option 2 or 3 would be selected, but instead it appears that the issue was locked to further comment and no further action was taken. So, the documentation is still at odds with the behavior of flask vs the math and computer science definition of integer. I'm not wedded to either solution, but would the pallets team be open to implementing a fix in either direction?

Thank you,
-Andrew

",closed,2025-01-13T04:57:35+00:00,2025-01-29T00:07:21+00:00,2025-01-13T07:22:53+00:00,widdowson,[],2,[],,https://github.com/pallets/flask/issues/5670
pallets/flask,5669,ok,"<!--
Replace this comment with a description of what the feature should do.
Include details such as links to relevant specs or previous discussions.
-->

<!--
Replace this comment with an example of the problem which this feature
would resolve. Is this problem solvable without changes to Flask, such
as by subclassing or using an extension?
-->
",closed,2025-01-10T14:36:15+00:00,2025-01-25T00:07:20+00:00,2025-01-10T14:48:44+00:00,gamestime102,[],0,[],,https://github.com/pallets/flask/issues/5669
pallets/flask,5667,Consider supporting HOT reload with `hmr`?,"Hot Module Replacement has been existed in JavaScript ecosystem for a long time, but Python web applications are still using full reloads by default.

To solve this situation, I implemented the `hmr` package, which does the fine-grained dependency tracking, on-demand reloading jobs. Here is a demo of what the results look like:

https://github.com/user-attachments/assets/7937d1c2-ed41-4f38-be18-9cc29b9961a1

Obviously the `a.py` runs everytime in `flask run --reload` but reloads only when needed in `hmr app.py`. But everything else works fine (at least for this small demo)

You may say that user should use lazy imports and cache expensive calculations themselves, but in fact not every function can be cached, and lazy imports may lead to ugly code style. This can be solved with on-demand hot reloading without overhead. So I believe this is the future.

Although this is just a minimal demo, but I value hmr's potential in the Python ecosystem, and believe that with our efforts this is a reachable goal.

> [!TIP]
> You can try the example above [here](https://github.com/promplate/hmr/tree/readme/examples/flask) with `hmr app.py`

---

About `hmr`, you can refer to its [README](https://github.com/promplate/hmr) for details.
",closed,2025-01-10T08:58:37+00:00,2025-01-10T09:15:33+00:00,2025-01-10T09:02:03+00:00,CNSeniorious000,[],3,[],,https://github.com/pallets/flask/issues/5667
pallets/flask,5666,intersphinx broken for flask.Flask.cli,"https://flask.palletsprojects.com/en/stable/api/#flask.Flask.cli has a type of `Group`, but it doesn't link to further docs.",closed,2025-01-03T18:51:42+00:00,2025-01-23T00:07:27+00:00,2025-01-08T21:04:29+00:00,AstraLuma,[],2,[],,https://github.com/pallets/flask/issues/5666
pallets/flask,5662,Containerization,Hello  team I am planning to containerized the entire flask framework using docker so whenever user needs to work on the project they can able to run entire framework just by running docker container so can i work on this feature. ,closed,2024-12-29T12:29:29+00:00,2025-01-13T00:08:22+00:00,2024-12-29T13:19:44+00:00,vignesh-0512,[],3,[],,https://github.com/pallets/flask/issues/5662
pallets/flask,5661,Design Enhancement,"Hello team, planning to develop flask documentation with web interface with great and clean UI, also trying to make the concept more simple and understandable can you assign me this task.",closed,2024-12-28T15:14:44+00:00,2025-01-12T00:08:38+00:00,2024-12-28T15:36:53+00:00,vignesh-0512,[],1,[],,https://github.com/pallets/flask/issues/5661
pallets/flask,5655,app.run(debug=True)，会导致flask_sqlalchemy错误!,"开启debug模式后，debug=Ture的时候，flask_sqlalchemy的with self.app.app_context()会重复执行。
例如我写入一条数据 {user:""123"",name:""youname""}, 在debug模式下 with self.app.app_context() 会执行完写入完毕后，会重新执行一次，导致程序退出，提示重复写入！
我以为是我代码问题，我检查了无数次，都无法找到我代码问题，最后关闭debug模式后，就可以正常使用。

复现办法：
app.py:
app.run(debug=True)

model.py：
pass

userdb.py:
        with self.app.app_context():
            new_user = userdbmodel(userdb)(user='11eee',
                                           name=input(""input"")
                                           )
            userdb.session.add(new_user)
            userdb.session.commit()

会出现两次input输入，之后会提示重复后程序停止。





目前只要把app.run(debug=True)改为app.run(debug=False)，例如：
app.py:
app.run(debug=False)
就只会执行一次，不会报错。",closed,2024-12-12T07:26:31+00:00,2024-12-12T15:52:07+00:00,2024-12-12T15:52:07+00:00,gitDebianD,[],0,[],,https://github.com/pallets/flask/issues/5655
pallets/flask,5654,Mypy error when accessing flask.request.json,"I use mypy to validate my project, I upgraded from flask 2 to flask 3 and now I see plenty of errors when I try to access the json property or flask.request

I just have a top level

import flask

Then:

j = flask.request.json  # ""Request"" has no attribute ""json""

Mypy: ""Request"" has no attribute ""json"" [attr-defined]

Environment:

- Python version: 3.13.0
- Flask version: 3.1.0
",closed,2024-12-11T16:15:26+00:00,2024-12-27T00:07:40+00:00,2024-12-11T17:15:31+00:00,skonstant,[],2,[],,https://github.com/pallets/flask/issues/5654
pallets/flask,5653,Flash message with Markup fails,"Upgrading my platform from Python 3.8 + Flask 3.0.3 +  Flask-Session 0.8.0 with redis backend, to Python 3.11 + Flask 3.1.0 +  Flask-Session 0.8.0 with redis backend. Same user code.

Issue: fancy flash message breaks on the new platform (work fine on the old platform).

Flash message:
`flash(Markup('press the play button <i class=""bi-play-btn-fill black""></i> below'), 'info')`

Error:
```
[2024-12-10 19:01:28,998] ERROR in base: Failed to serialize session data: Encoding objects of type Markup is unsupported
[2024-12-10 19:01:28,998] ERROR in app: Exception on / [POST]
Traceback (most recent call last):
  File ""/var/www/lib/python3.11/site-packages/flask/app.py"", line 1511, in wsgi_app
    response = self.full_dispatch_request()
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/www/lib/python3.11/site-packages/flask/app.py"", line 920, in full_dispatch_request
    return self.finalize_request(rv)
           ^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/www/lib/python3.11/site-packages/flask/app.py"", line 941, in finalize_request
    response = self.process_response(response)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/www/lib/python3.11/site-packages/flask/app.py"", line 1322, in process_response
    self.session_interface.save_session(self, ctx.session, response)
  File ""/var/www/lib/python3.11/site-packages/flask_session/base.py"", line 305, in save_session
    self._upsert_session(app.permanent_session_lifetime, session, store_id)
  File ""/var/www/lib/python3.11/site-packages/flask_session/redis/redis.py"", line 78, in _upsert_session
    serialized_session_data = self.serializer.encode(session)
                              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/www/lib/python3.11/site-packages/flask_session/base.py"", line 132, in encode
    return self.encoder.encode(dict(session))
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: Encoding objects of type Markup is unsupported
[2024-12-10 19:01:29,002] ERROR in base: Failed to serialize session data: Encoding objects of type Markup is unsupported
[2024-12-10 19:01:29,002] ERROR in app: Request finalizing failed with an error while handling an error
Traceback (most recent call last):
  File ""/var/www/lib/python3.11/site-packages/flask/app.py"", line 1511, in wsgi_app
    response = self.full_dispatch_request()
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/www/lib/python3.11/site-packages/flask/app.py"", line 920, in full_dispatch_request
    return self.finalize_request(rv)
           ^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/www/lib/python3.11/site-packages/flask/app.py"", line 941, in finalize_request
    response = self.process_response(response)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/www/lib/python3.11/site-packages/flask/app.py"", line 1322, in process_response
    self.session_interface.save_session(self, ctx.session, response)
  File ""/var/www/lib/python3.11/site-packages/flask_session/base.py"", line 305, in save_session
    self._upsert_session(app.permanent_session_lifetime, session, store_id)
  File ""/var/www/lib/python3.11/site-packages/flask_session/redis/redis.py"", line 78, in _upsert_session
    serialized_session_data = self.serializer.encode(session)
                              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/www/lib/python3.11/site-packages/flask_session/base.py"", line 132, in encode
    return self.encoder.encode(dict(session))
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: Encoding objects of type Markup is unsupported

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""/var/www/lib/python3.11/site-packages/flask/app.py"", line 941, in finalize_request
    response = self.process_response(response)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/www/lib/python3.11/site-packages/flask/app.py"", line 1322, in process_response
    self.session_interface.save_session(self, ctx.session, response)
  File ""/var/www/lib/python3.11/site-packages/flask_session/base.py"", line 305, in save_session
    self._upsert_session(app.permanent_session_lifetime, session, store_id)
  File ""/var/www/lib/python3.11/site-packages/flask_session/redis/redis.py"", line 78, in _upsert_session
    serialized_session_data = self.serializer.encode(session)
                              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/www/lib/python3.11/site-packages/flask_session/base.py"", line 132, in encode
    return self.encoder.encode(dict(session))
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: Encoding objects of type Markup is unsupported
```",closed,2024-12-10T18:08:02+00:00,2024-12-26T00:10:42+00:00,2024-12-10T18:38:05+00:00,jeroen-80,[],1,[],,https://github.com/pallets/flask/issues/5653
pallets/flask,5652,flask==2.2.4 incompatible with werkzeug==3.1.3,"I use flask==2.2.4 for my project and when I install flask, it pulls **any** werkzeug>=2.2.2 (which is the default behaviour). After [werkzeug==3.1.3](https://pypi.org/project/Werkzeug/3.1.3/) got released on 8 Nov, 2024, flask pulls the latest version of it. With this new version of werkzeug, while executing unit tests, I get an error saying `module 'werkzeug' has no attribute '__version__'`

**A small example to reproduce the issue:**
(myenv) root@6426d8424cca:~# python3
Python 3.9.16 (main, Sep  2 2024, 12:46:28) 
[GCC 10.2.1 20210110] on linux
Type ""help"", ""copyright"", ""credits"" or ""license"" for more information.
 **"">>> from flask import Flask
 "">>> app = Flask(__name__)
 "">>> my_test_client = app.test_client()
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/root/myenv/lib/python3.9/site-packages/flask/app.py"", line 1252, in test_client
    return cls(  # type: ignore
  File ""/root/myenv/lib/python3.9/site-packages/flask/testing.py"", line 116, in __init__
    ""HTTP_USER_AGENT"": f""werkzeug/{werkzeug.__version__}"",
**AttributeError: module 'werkzeug' has no attribute '__version__'****


I shouldn't be seeing any error like above.

Environment:

- Python version: 3.9.16
- Flask version: 2.2.4
",closed,2024-12-05T11:56:45+00:00,2024-12-20T00:07:47+00:00,2024-12-05T14:50:24+00:00,ranaprathapthanneeru,[],1,[],,https://github.com/pallets/flask/issues/5652
pallets/flask,5646,Remove unnecessary whitespace in slice notation to align with PEP 8 and Black standards,"File: flask/src/flask/cli.py
Line: 701

The return statement in the _path_is_ancestor function can be updated to improve readability and align with PEP 8 and Black formatting standards for slice notation. Currently, there is unnecessary whitespace around the colon (:) in the slice, which is inconsistent with these guidelines.

Current Code:
```return os.path.join(path, other[len(path) :].lstrip(os.sep)) == other```

Suggested Change:
Remove the unnecessary whitespace around the colon (:) in the slice notation to improve readability:
```return os.path.join(path, other[len(path):].lstrip(os.sep)) == other```

This change ensures compliance with PEP 8 and Black standards, contributing to cleaner and more consistent formatting across the codebase.",closed,2024-11-20T04:56:02+00:00,2024-12-05T00:11:28+00:00,2024-11-20T07:21:22+00:00,michaelwlin-osu,[],1,[],,https://github.com/pallets/flask/issues/5646
pallets/flask,5645,Type hint for FlaskCliRunner.invoke is not specific,"The type hint of the return type of `FlaskCliRunner.invoke` ist `typing.Any` but should use `click.testing.Result`. This leads to missing auto completions in the IDE as well as errors from the type checker if not additional type narrowing is done.

The Problem is here: https://github.com/pallets/flask/blob/main/src/flask/testing.py#L276

To fix this `Result` must be imported from `click.testing` and used as a return type annotation.

The documentation already specifies `click.testing.Result` as return type.

Environment:

- Python version: 3.12.2
- Flask version: 3.1.0 but is also present in current main branch.
",closed,2024-11-19T12:14:20+00:00,2024-12-10T00:08:35+00:00,2024-11-24T01:53:05+00:00,loewexy,[],1,"[""typing""]",3.1.1,https://github.com/pallets/flask/issues/5645
pallets/flask,5642,PROVIDE_AUTOMATIC_OPTIONS causes KeyError if not set,"https://github.com/pallets/flask/blob/bc098406af9537aacc436cb2ea777fbc9ff4c5aa/src/flask/sansio/app.py#L641C12-L641C86

Simply changing this to : `self.config.get(""PROVIDE_AUTOMATIC_OPTIONS"", False)` should resolve the problem.

This change now released is causing upstream trouble in other packages such as Quart:
https://github.com/pallets/quart/issues/371

",closed,2024-11-14T12:01:51+00:00,2024-11-14T16:55:57+00:00,2024-11-14T15:25:04+00:00,develerltd,[],3,[],,https://github.com/pallets/flask/issues/5642
pallets/flask,5639,merge app and request contexts into a single context,"Right now we have two separate contexts managed separately, the app and request contexts. This makes the implementation pretty complicated, as we need to maintain two context var stacks, and do a bunch of checks in the request context to make sure we're managing the correct app context. It makes an already confusing topic more complicated to explain: app context is active for requests and cli commands, don't push an app context before making a request, etc.

I think merging the two contexts could be possible. The single context (`ExecutionContext`?) would have the `g`, `request`, and `session` attributes, but accessing `request` or `session` when not in a request would raise an error.",open,2024-11-13T16:28:05+00:00,2025-03-04T12:04:58+00:00,,davidism,"[""davidism""]",4,[],3.2.0,https://github.com/pallets/flask/issues/5639
pallets/flask,5636,configure and check `request.trusted_hosts`,"If `request.trusted_hosts` is set, it will be checked when accessing `request.host`/`url`/etc. Add `TRUSTED_HOSTS` config, and check it during routing.",closed,2024-11-13T01:49:21+00:00,2024-11-28T00:08:25+00:00,2024-11-13T05:03:24+00:00,davidism,[],2,[],3.1.0,https://github.com/pallets/flask/issues/5636
pallets/flask,5628,dotenv file arg should take precedence over default dotenv files,"As pointed out in #5532, `-e file` is loaded after the default `.env` and `.flaskenv` files, which means it won't override env vars that are set by the defaults. It will be a little tricky to track during CLI startup, but I think it should be possible to fix this so that precedence is: `os.environ` > `-e path` > `.env` > `.flaskenv`.",closed,2024-11-06T17:34:15+00:00,2024-11-22T00:08:14+00:00,2024-11-07T19:56:28+00:00,davidism,"[""davidism""]",0,"[""cli""]",3.1.0,https://github.com/pallets/flask/issues/5628
pallets/flask,5625,extend config for Request form memory settings,"Werkzeug provides three settings on `Request` to control form parsing: `max_content_length`, `max_form_memory_size`, and `max_form_parts`. Only `max_content_length` is exposed as a Flask config right now, and the way it's implemented means it can only be set for the whole application, not per-request. Fix all that. Document these in the security page as well as the config page.",closed,2024-10-31T20:19:45+00:00,2024-11-16T00:08:50+00:00,2024-11-01T20:21:37+00:00,davidism,"[""davidism""]",0,[],3.1.0,https://github.com/pallets/flask/issues/5625
pallets/flask,5621,Rotating secret keys,"I'd like to have a couple of secret keys available, like so
```
app.secret_keys = [
   'key-1',
   'key-2',
]
```
To allow them to rotate.

I've seen this issue which seems to have auto-closed
https://github.com/pallets/flask/issues/1574

It seems like itsdangerous now supports this
https://github.com/pallets/itsdangerous/pull/141

This would allow secret keys to be rotated regularly without sessions being invalidated.
",closed,2024-10-25T13:50:09+00:00,2025-01-05T16:39:32+00:00,2024-11-08T16:16:05+00:00,CanaryWharf,"[""davidism""]",3,[],3.1.0,https://github.com/pallets/flask/issues/5621
